DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1972-05-01,1972,1,5,BM12_OPTPCN12,1972-05-01T00:00:00-03:00,
1972-06-01,1972,1,6,BM12_OPTPCN12,1972-06-01T00:00:00-03:00,
1972-07-01,1972,1,7,BM12_OPTPCN12,1972-07-01T00:00:00-03:00,
1972-08-01,1972,1,8,BM12_OPTPCN12,1972-08-01T00:00:00-03:00,
1972-09-01,1972,1,9,BM12_OPTPCN12,1972-09-01T00:00:00-03:00,
1972-10-01,1972,1,10,BM12_OPTPCN12,1972-10-01T00:00:00-03:00,
1972-11-01,1972,1,11,BM12_OPTPCN12,1972-11-01T00:00:00-03:00,
1972-12-01,1972,1,12,BM12_OPTPCN12,1972-12-01T00:00:00-02:00,
1973-01-01,1973,1,1,BM12_OPTPCN12,1973-01-01T00:00:00-02:00,
1973-02-01,1973,1,2,BM12_OPTPCN12,1973-02-01T00:00:00-02:00,
1973-03-01,1973,1,3,BM12_OPTPCN12,1973-03-01T00:00:00-03:00,
1973-04-01,1973,1,4,BM12_OPTPCN12,1973-04-01T00:00:00-03:00,
1973-05-01,1973,1,5,BM12_OPTPCN12,1973-05-01T00:00:00-03:00,
1973-06-01,1973,1,6,BM12_OPTPCN12,1973-06-01T00:00:00-03:00,
1973-07-01,1973,1,7,BM12_OPTPCN12,1973-07-01T00:00:00-03:00,
1973-08-01,1973,1,8,BM12_OPTPCN12,1973-08-01T00:00:00-03:00,
1973-09-01,1973,1,9,BM12_OPTPCN12,1973-09-01T00:00:00-03:00,
1973-10-01,1973,1,10,BM12_OPTPCN12,1973-10-01T00:00:00-03:00,
1973-11-01,1973,1,11,BM12_OPTPCN12,1973-11-01T00:00:00-03:00,
1973-12-01,1973,1,12,BM12_OPTPCN12,1973-12-01T00:00:00-02:00,
1974-01-01,1974,1,1,BM12_OPTPCN12,1974-01-01T00:00:00-02:00,
1974-02-01,1974,1,2,BM12_OPTPCN12,1974-02-01T00:00:00-02:00,
1974-03-01,1974,1,3,BM12_OPTPCN12,1974-03-01T00:00:00-03:00,
1974-04-01,1974,1,4,BM12_OPTPCN12,1974-04-01T00:00:00-03:00,
1974-05-01,1974,1,5,BM12_OPTPCN12,1974-05-01T00:00:00-03:00,
1974-06-01,1974,1,6,BM12_OPTPCN12,1974-06-01T00:00:00-03:00,
1974-07-01,1974,1,7,BM12_OPTPCN12,1974-07-01T00:00:00-03:00,
1974-08-01,1974,1,8,BM12_OPTPCN12,1974-08-01T00:00:00-03:00,
1974-09-01,1974,1,9,BM12_OPTPCN12,1974-09-01T00:00:00-03:00,
1974-10-01,1974,1,10,BM12_OPTPCN12,1974-10-01T00:00:00-03:00,
1974-11-01,1974,1,11,BM12_OPTPCN12,1974-11-01T00:00:00-03:00,
1974-12-01,1974,1,12,BM12_OPTPCN12,1974-12-01T00:00:00-02:00,
1975-01-01,1975,1,1,BM12_OPTPCN12,1975-01-01T00:00:00-02:00,
1975-02-01,1975,1,2,BM12_OPTPCN12,1975-02-01T00:00:00-02:00,
1975-03-01,1975,1,3,BM12_OPTPCN12,1975-03-01T00:00:00-03:00,
1975-04-01,1975,1,4,BM12_OPTPCN12,1975-04-01T00:00:00-03:00,
1975-05-01,1975,1,5,BM12_OPTPCN12,1975-05-01T00:00:00-03:00,
1975-06-01,1975,1,6,BM12_OPTPCN12,1975-06-01T00:00:00-03:00,
1975-07-01,1975,1,7,BM12_OPTPCN12,1975-07-01T00:00:00-03:00,
1975-08-01,1975,1,8,BM12_OPTPCN12,1975-08-01T00:00:00-03:00,
1975-09-01,1975,1,9,BM12_OPTPCN12,1975-09-01T00:00:00-03:00,
1975-10-01,1975,1,10,BM12_OPTPCN12,1975-10-01T00:00:00-03:00,
1975-11-01,1975,1,11,BM12_OPTPCN12,1975-11-01T00:00:00-03:00,
1975-12-01,1975,1,12,BM12_OPTPCN12,1975-12-01T00:00:00-02:00,
1976-01-01,1976,1,1,BM12_OPTPCN12,1976-01-01T00:00:00-02:00,
1976-02-01,1976,1,2,BM12_OPTPCN12,1976-02-01T00:00:00-02:00,
1976-03-01,1976,1,3,BM12_OPTPCN12,1976-03-01T00:00:00-03:00,
1976-04-01,1976,1,4,BM12_OPTPCN12,1976-04-01T00:00:00-03:00,
1976-05-01,1976,1,5,BM12_OPTPCN12,1976-05-01T00:00:00-03:00,
1976-06-01,1976,1,6,BM12_OPTPCN12,1976-06-01T00:00:00-03:00,
1976-07-01,1976,1,7,BM12_OPTPCN12,1976-07-01T00:00:00-03:00,
1976-08-01,1976,1,8,BM12_OPTPCN12,1976-08-01T00:00:00-03:00,
1976-09-01,1976,1,9,BM12_OPTPCN12,1976-09-01T00:00:00-03:00,
1976-10-01,1976,1,10,BM12_OPTPCN12,1976-10-01T00:00:00-03:00,
1976-11-01,1976,1,11,BM12_OPTPCN12,1976-11-01T00:00:00-03:00,
1976-12-01,1976,1,12,BM12_OPTPCN12,1976-12-01T00:00:00-02:00,
1977-01-01,1977,1,1,BM12_OPTPCN12,1977-01-01T00:00:00-02:00,
1977-02-01,1977,1,2,BM12_OPTPCN12,1977-02-01T00:00:00-02:00,
1977-03-01,1977,1,3,BM12_OPTPCN12,1977-03-01T00:00:00-03:00,
1977-04-01,1977,1,4,BM12_OPTPCN12,1977-04-01T00:00:00-03:00,
1977-05-01,1977,1,5,BM12_OPTPCN12,1977-05-01T00:00:00-03:00,
1977-06-01,1977,1,6,BM12_OPTPCN12,1977-06-01T00:00:00-03:00,
1977-07-01,1977,1,7,BM12_OPTPCN12,1977-07-01T00:00:00-03:00,
1977-08-01,1977,1,8,BM12_OPTPCN12,1977-08-01T00:00:00-03:00,
1977-09-01,1977,1,9,BM12_OPTPCN12,1977-09-01T00:00:00-03:00,
1977-10-01,1977,1,10,BM12_OPTPCN12,1977-10-01T00:00:00-03:00,
1977-11-01,1977,1,11,BM12_OPTPCN12,1977-11-01T00:00:00-03:00,
1977-12-01,1977,1,12,BM12_OPTPCN12,1977-12-01T00:00:00-02:00,
1978-01-01,1978,1,1,BM12_OPTPCN12,1978-01-01T00:00:00-02:00,
1978-02-01,1978,1,2,BM12_OPTPCN12,1978-02-01T00:00:00-02:00,
1978-03-01,1978,1,3,BM12_OPTPCN12,1978-03-01T00:00:00-03:00,
1978-04-01,1978,1,4,BM12_OPTPCN12,1978-04-01T00:00:00-03:00,
1978-05-01,1978,1,5,BM12_OPTPCN12,1978-05-01T00:00:00-03:00,
1978-06-01,1978,1,6,BM12_OPTPCN12,1978-06-01T00:00:00-03:00,
1978-07-01,1978,1,7,BM12_OPTPCN12,1978-07-01T00:00:00-03:00,
1978-08-01,1978,1,8,BM12_OPTPCN12,1978-08-01T00:00:00-03:00,
1978-09-01,1978,1,9,BM12_OPTPCN12,1978-09-01T00:00:00-03:00,
1978-10-01,1978,1,10,BM12_OPTPCN12,1978-10-01T00:00:00-03:00,
1978-11-01,1978,1,11,BM12_OPTPCN12,1978-11-01T00:00:00-03:00,
1978-12-01,1978,1,12,BM12_OPTPCN12,1978-12-01T00:00:00-02:00,
1979-01-01,1979,1,1,BM12_OPTPCN12,1979-01-01T00:00:00-02:00,
1979-02-01,1979,1,2,BM12_OPTPCN12,1979-02-01T00:00:00-02:00,
1979-03-01,1979,1,3,BM12_OPTPCN12,1979-03-01T00:00:00-03:00,
1979-04-01,1979,1,4,BM12_OPTPCN12,1979-04-01T00:00:00-03:00,
1979-05-01,1979,1,5,BM12_OPTPCN12,1979-05-01T00:00:00-03:00,
1979-06-01,1979,1,6,BM12_OPTPCN12,1979-06-01T00:00:00-03:00,
1979-07-01,1979,1,7,BM12_OPTPCN12,1979-07-01T00:00:00-03:00,
1979-08-01,1979,1,8,BM12_OPTPCN12,1979-08-01T00:00:00-03:00,
1979-09-01,1979,1,9,BM12_OPTPCN12,1979-09-01T00:00:00-03:00,
1979-10-01,1979,1,10,BM12_OPTPCN12,1979-10-01T00:00:00-03:00,
1979-11-01,1979,1,11,BM12_OPTPCN12,1979-11-01T00:00:00-03:00,
1979-12-01,1979,1,12,BM12_OPTPCN12,1979-12-01T00:00:00-02:00,
1980-01-01,1980,1,1,BM12_OPTPCN12,1980-01-01T00:00:00-02:00,
1980-02-01,1980,1,2,BM12_OPTPCN12,1980-02-01T00:00:00-02:00,
1980-03-01,1980,1,3,BM12_OPTPCN12,1980-03-01T00:00:00-03:00,
1980-04-01,1980,1,4,BM12_OPTPCN12,1980-04-01T00:00:00-03:00,
1980-05-01,1980,1,5,BM12_OPTPCN12,1980-05-01T00:00:00-03:00,
1980-06-01,1980,1,6,BM12_OPTPCN12,1980-06-01T00:00:00-03:00,
1980-07-01,1980,1,7,BM12_OPTPCN12,1980-07-01T00:00:00-03:00,
1980-08-01,1980,1,8,BM12_OPTPCN12,1980-08-01T00:00:00-03:00,
1980-09-01,1980,1,9,BM12_OPTPCN12,1980-09-01T00:00:00-03:00,
1980-10-01,1980,1,10,BM12_OPTPCN12,1980-10-01T00:00:00-03:00,
1980-11-01,1980,1,11,BM12_OPTPCN12,1980-11-01T00:00:00-03:00,
1980-12-01,1980,1,12,BM12_OPTPCN12,1980-12-01T00:00:00-02:00,
1981-01-01,1981,1,1,BM12_OPTPCN12,1981-01-01T00:00:00-02:00,
1981-02-01,1981,1,2,BM12_OPTPCN12,1981-02-01T00:00:00-02:00,
1981-03-01,1981,1,3,BM12_OPTPCN12,1981-03-01T00:00:00-03:00,
1981-04-01,1981,1,4,BM12_OPTPCN12,1981-04-01T00:00:00-03:00,
1981-05-01,1981,1,5,BM12_OPTPCN12,1981-05-01T00:00:00-03:00,
1981-06-01,1981,1,6,BM12_OPTPCN12,1981-06-01T00:00:00-03:00,
1981-07-01,1981,1,7,BM12_OPTPCN12,1981-07-01T00:00:00-03:00,
1981-08-01,1981,1,8,BM12_OPTPCN12,1981-08-01T00:00:00-03:00,
1981-09-01,1981,1,9,BM12_OPTPCN12,1981-09-01T00:00:00-03:00,
1981-10-01,1981,1,10,BM12_OPTPCN12,1981-10-01T00:00:00-03:00,
1981-11-01,1981,1,11,BM12_OPTPCN12,1981-11-01T00:00:00-03:00,
1981-12-01,1981,1,12,BM12_OPTPCN12,1981-12-01T00:00:00-02:00,
1982-01-01,1982,1,1,BM12_OPTPCN12,1982-01-01T00:00:00-02:00,
1982-02-01,1982,1,2,BM12_OPTPCN12,1982-02-01T00:00:00-02:00,
1982-03-01,1982,1,3,BM12_OPTPCN12,1982-03-01T00:00:00-03:00,
1982-04-01,1982,1,4,BM12_OPTPCN12,1982-04-01T00:00:00-03:00,
1982-05-01,1982,1,5,BM12_OPTPCN12,1982-05-01T00:00:00-03:00,
1982-06-01,1982,1,6,BM12_OPTPCN12,1982-06-01T00:00:00-03:00,
1982-07-01,1982,1,7,BM12_OPTPCN12,1982-07-01T00:00:00-03:00,
1982-08-01,1982,1,8,BM12_OPTPCN12,1982-08-01T00:00:00-03:00,
1982-09-01,1982,1,9,BM12_OPTPCN12,1982-09-01T00:00:00-03:00,
1982-10-01,1982,1,10,BM12_OPTPCN12,1982-10-01T00:00:00-03:00,
1982-11-01,1982,1,11,BM12_OPTPCN12,1982-11-01T00:00:00-03:00,
1982-12-01,1982,1,12,BM12_OPTPCN12,1982-12-01T00:00:00-02:00,
1983-01-01,1983,1,1,BM12_OPTPCN12,1983-01-01T00:00:00-02:00,
1983-02-01,1983,1,2,BM12_OPTPCN12,1983-02-01T00:00:00-02:00,
1983-03-01,1983,1,3,BM12_OPTPCN12,1983-03-01T00:00:00-03:00,
1983-04-01,1983,1,4,BM12_OPTPCN12,1983-04-01T00:00:00-03:00,
1983-05-01,1983,1,5,BM12_OPTPCN12,1983-05-01T00:00:00-03:00,
1983-06-01,1983,1,6,BM12_OPTPCN12,1983-06-01T00:00:00-03:00,
1983-07-01,1983,1,7,BM12_OPTPCN12,1983-07-01T00:00:00-03:00,
1983-08-01,1983,1,8,BM12_OPTPCN12,1983-08-01T00:00:00-03:00,
1983-09-01,1983,1,9,BM12_OPTPCN12,1983-09-01T00:00:00-03:00,
1983-10-01,1983,1,10,BM12_OPTPCN12,1983-10-01T00:00:00-03:00,
1983-11-01,1983,1,11,BM12_OPTPCN12,1983-11-01T00:00:00-03:00,
1983-12-01,1983,1,12,BM12_OPTPCN12,1983-12-01T00:00:00-02:00,
1984-01-01,1984,1,1,BM12_OPTPCN12,1984-01-01T00:00:00-02:00,
1984-02-01,1984,1,2,BM12_OPTPCN12,1984-02-01T00:00:00-02:00,
1984-03-01,1984,1,3,BM12_OPTPCN12,1984-03-01T00:00:00-03:00,
1984-04-01,1984,1,4,BM12_OPTPCN12,1984-04-01T00:00:00-03:00,
1984-05-01,1984,1,5,BM12_OPTPCN12,1984-05-01T00:00:00-03:00,
1984-06-01,1984,1,6,BM12_OPTPCN12,1984-06-01T00:00:00-03:00,
1984-07-01,1984,1,7,BM12_OPTPCN12,1984-07-01T00:00:00-03:00,
1984-08-01,1984,1,8,BM12_OPTPCN12,1984-08-01T00:00:00-03:00,
1984-09-01,1984,1,9,BM12_OPTPCN12,1984-09-01T00:00:00-03:00,
1984-10-01,1984,1,10,BM12_OPTPCN12,1984-10-01T00:00:00-03:00,
1984-11-01,1984,1,11,BM12_OPTPCN12,1984-11-01T00:00:00-03:00,
1984-12-01,1984,1,12,BM12_OPTPCN12,1984-12-01T00:00:00-02:00,
1985-01-01,1985,1,1,BM12_OPTPCN12,1985-01-01T00:00:00-02:00,
1985-02-01,1985,1,2,BM12_OPTPCN12,1985-02-01T00:00:00-02:00,
1985-03-01,1985,1,3,BM12_OPTPCN12,1985-03-01T00:00:00-03:00,
1985-04-01,1985,1,4,BM12_OPTPCN12,1985-04-01T00:00:00-03:00,
1985-05-01,1985,1,5,BM12_OPTPCN12,1985-05-01T00:00:00-03:00,
1985-06-01,1985,1,6,BM12_OPTPCN12,1985-06-01T00:00:00-03:00,
1985-07-01,1985,1,7,BM12_OPTPCN12,1985-07-01T00:00:00-03:00,
1985-08-01,1985,1,8,BM12_OPTPCN12,1985-08-01T00:00:00-03:00,
1985-09-01,1985,1,9,BM12_OPTPCN12,1985-09-01T00:00:00-03:00,
1985-10-01,1985,1,10,BM12_OPTPCN12,1985-10-01T00:00:00-03:00,
1985-11-01,1985,1,11,BM12_OPTPCN12,1985-11-01T00:00:00-03:00,
1985-12-01,1985,1,12,BM12_OPTPCN12,1985-12-01T00:00:00-02:00,
1986-01-01,1986,1,1,BM12_OPTPCN12,1986-01-01T00:00:00-02:00,
1986-02-01,1986,1,2,BM12_OPTPCN12,1986-02-01T00:00:00-02:00,
1986-03-01,1986,1,3,BM12_OPTPCN12,1986-03-01T00:00:00-03:00,
1986-04-01,1986,1,4,BM12_OPTPCN12,1986-04-01T00:00:00-03:00,
1986-05-01,1986,1,5,BM12_OPTPCN12,1986-05-01T00:00:00-03:00,
1986-06-01,1986,1,6,BM12_OPTPCN12,1986-06-01T00:00:00-03:00,
1986-07-01,1986,1,7,BM12_OPTPCN12,1986-07-01T00:00:00-03:00,
1986-08-01,1986,1,8,BM12_OPTPCN12,1986-08-01T00:00:00-03:00,
1986-09-01,1986,1,9,BM12_OPTPCN12,1986-09-01T00:00:00-03:00,
1986-10-01,1986,1,10,BM12_OPTPCN12,1986-10-01T00:00:00-03:00,
1986-11-01,1986,1,11,BM12_OPTPCN12,1986-11-01T00:00:00-03:00,
1986-12-01,1986,1,12,BM12_OPTPCN12,1986-12-01T00:00:00-02:00,
1987-01-01,1987,1,1,BM12_OPTPCN12,1987-01-01T00:00:00-02:00,
1987-02-01,1987,1,2,BM12_OPTPCN12,1987-02-01T00:00:00-02:00,
1987-03-01,1987,1,3,BM12_OPTPCN12,1987-03-01T00:00:00-03:00,
1987-04-01,1987,1,4,BM12_OPTPCN12,1987-04-01T00:00:00-03:00,
1987-05-01,1987,1,5,BM12_OPTPCN12,1987-05-01T00:00:00-03:00,
1987-06-01,1987,1,6,BM12_OPTPCN12,1987-06-01T00:00:00-03:00,
1987-07-01,1987,1,7,BM12_OPTPCN12,1987-07-01T00:00:00-03:00,
1987-08-01,1987,1,8,BM12_OPTPCN12,1987-08-01T00:00:00-03:00,
1987-09-01,1987,1,9,BM12_OPTPCN12,1987-09-01T00:00:00-03:00,
1987-10-01,1987,1,10,BM12_OPTPCN12,1987-10-01T00:00:00-03:00,
1987-11-01,1987,1,11,BM12_OPTPCN12,1987-11-01T00:00:00-03:00,
1987-12-01,1987,1,12,BM12_OPTPCN12,1987-12-01T00:00:00-02:00,
1988-01-01,1988,1,1,BM12_OPTPCN12,1988-01-01T00:00:00-02:00,
1988-02-01,1988,1,2,BM12_OPTPCN12,1988-02-01T00:00:00-02:00,
1988-03-01,1988,1,3,BM12_OPTPCN12,1988-03-01T00:00:00-03:00,
1988-04-01,1988,1,4,BM12_OPTPCN12,1988-04-01T00:00:00-03:00,
1988-05-01,1988,1,5,BM12_OPTPCN12,1988-05-01T00:00:00-03:00,
1988-06-01,1988,1,6,BM12_OPTPCN12,1988-06-01T00:00:00-03:00,
1988-07-01,1988,1,7,BM12_OPTPCN12,1988-07-01T00:00:00-03:00,
1988-08-01,1988,1,8,BM12_OPTPCN12,1988-08-01T00:00:00-03:00,
1988-09-01,1988,1,9,BM12_OPTPCN12,1988-09-01T00:00:00-03:00,
1988-10-01,1988,1,10,BM12_OPTPCN12,1988-10-01T00:00:00-03:00,
1988-11-01,1988,1,11,BM12_OPTPCN12,1988-11-01T00:00:00-03:00,
1988-12-01,1988,1,12,BM12_OPTPCN12,1988-12-01T00:00:00-02:00,
1989-01-01,1989,1,1,BM12_OPTPCN12,1989-01-01T00:00:00-02:00,
1989-02-01,1989,1,2,BM12_OPTPCN12,1989-02-01T00:00:00-02:00,
1989-03-01,1989,1,3,BM12_OPTPCN12,1989-03-01T00:00:00-03:00,
1989-04-01,1989,1,4,BM12_OPTPCN12,1989-04-01T00:00:00-03:00,
1989-05-01,1989,1,5,BM12_OPTPCN12,1989-05-01T00:00:00-03:00,
1989-06-01,1989,1,6,BM12_OPTPCN12,1989-06-01T00:00:00-03:00,
1989-07-01,1989,1,7,BM12_OPTPCN12,1989-07-01T00:00:00-03:00,
1989-08-01,1989,1,8,BM12_OPTPCN12,1989-08-01T00:00:00-03:00,
1989-09-01,1989,1,9,BM12_OPTPCN12,1989-09-01T00:00:00-03:00,
1989-10-01,1989,1,10,BM12_OPTPCN12,1989-10-01T00:00:00-03:00,
1989-11-01,1989,1,11,BM12_OPTPCN12,1989-11-01T00:00:00-03:00,
1989-12-01,1989,1,12,BM12_OPTPCN12,1989-12-01T00:00:00-02:00,
1990-01-01,1990,1,1,BM12_OPTPCN12,1990-01-01T00:00:00-02:00,
1990-02-01,1990,1,2,BM12_OPTPCN12,1990-02-01T00:00:00-02:00,
1990-03-01,1990,1,3,BM12_OPTPCN12,1990-03-01T00:00:00-03:00,
1990-04-01,1990,1,4,BM12_OPTPCN12,1990-04-01T00:00:00-03:00,
1990-05-01,1990,1,5,BM12_OPTPCN12,1990-05-01T00:00:00-03:00,
1990-06-01,1990,1,6,BM12_OPTPCN12,1990-06-01T00:00:00-03:00,
1990-07-01,1990,1,7,BM12_OPTPCN12,1990-07-01T00:00:00-03:00,
1990-08-01,1990,1,8,BM12_OPTPCN12,1990-08-01T00:00:00-03:00,
1990-09-01,1990,1,9,BM12_OPTPCN12,1990-09-01T00:00:00-03:00,
1990-10-01,1990,1,10,BM12_OPTPCN12,1990-10-01T00:00:00-03:00,
1990-11-01,1990,1,11,BM12_OPTPCN12,1990-11-01T00:00:00-03:00,
1990-12-01,1990,1,12,BM12_OPTPCN12,1990-12-01T00:00:00-02:00,
1991-01-01,1991,1,1,BM12_OPTPCN12,1991-01-01T00:00:00-02:00,
1991-02-01,1991,1,2,BM12_OPTPCN12,1991-02-01T00:00:00-02:00,
1991-03-01,1991,1,3,BM12_OPTPCN12,1991-03-01T00:00:00-03:00,
1991-04-01,1991,1,4,BM12_OPTPCN12,1991-04-01T00:00:00-03:00,
1991-05-01,1991,1,5,BM12_OPTPCN12,1991-05-01T00:00:00-03:00,
1991-06-01,1991,1,6,BM12_OPTPCN12,1991-06-01T00:00:00-03:00,
1991-07-01,1991,1,7,BM12_OPTPCN12,1991-07-01T00:00:00-03:00,
1991-08-01,1991,1,8,BM12_OPTPCN12,1991-08-01T00:00:00-03:00,
1991-09-01,1991,1,9,BM12_OPTPCN12,1991-09-01T00:00:00-03:00,
1991-10-01,1991,1,10,BM12_OPTPCN12,1991-10-01T00:00:00-03:00,
1991-11-01,1991,1,11,BM12_OPTPCN12,1991-11-01T00:00:00-03:00,
1991-12-01,1991,1,12,BM12_OPTPCN12,1991-12-01T00:00:00-02:00,
1992-01-01,1992,1,1,BM12_OPTPCN12,1992-01-01T00:00:00-02:00,
1992-02-01,1992,1,2,BM12_OPTPCN12,1992-02-01T00:00:00-02:00,
1992-03-01,1992,1,3,BM12_OPTPCN12,1992-03-01T00:00:00-03:00,
1992-04-01,1992,1,4,BM12_OPTPCN12,1992-04-01T00:00:00-03:00,
1992-05-01,1992,1,5,BM12_OPTPCN12,1992-05-01T00:00:00-03:00,
1992-06-01,1992,1,6,BM12_OPTPCN12,1992-06-01T00:00:00-03:00,
1992-07-01,1992,1,7,BM12_OPTPCN12,1992-07-01T00:00:00-03:00,
1992-08-01,1992,1,8,BM12_OPTPCN12,1992-08-01T00:00:00-03:00,
1992-09-01,1992,1,9,BM12_OPTPCN12,1992-09-01T00:00:00-03:00,
1992-10-01,1992,1,10,BM12_OPTPCN12,1992-10-01T00:00:00-03:00,
1992-11-01,1992,1,11,BM12_OPTPCN12,1992-11-01T00:00:00-03:00,
1992-12-01,1992,1,12,BM12_OPTPCN12,1992-12-01T00:00:00-02:00,
1993-01-01,1993,1,1,BM12_OPTPCN12,1993-01-01T00:00:00-02:00,
1993-02-01,1993,1,2,BM12_OPTPCN12,1993-02-01T00:00:00-02:00,
1993-03-01,1993,1,3,BM12_OPTPCN12,1993-03-01T00:00:00-03:00,
1993-04-01,1993,1,4,BM12_OPTPCN12,1993-04-01T00:00:00-03:00,
1993-05-01,1993,1,5,BM12_OPTPCN12,1993-05-01T00:00:00-03:00,
1993-06-01,1993,1,6,BM12_OPTPCN12,1993-06-01T00:00:00-03:00,
1993-07-01,1993,1,7,BM12_OPTPCN12,1993-07-01T00:00:00-03:00,
1993-08-01,1993,1,8,BM12_OPTPCN12,1993-08-01T00:00:00-03:00,
1993-09-01,1993,1,9,BM12_OPTPCN12,1993-09-01T00:00:00-03:00,
1993-10-01,1993,1,10,BM12_OPTPCN12,1993-10-01T00:00:00-03:00,
1993-11-01,1993,1,11,BM12_OPTPCN12,1993-11-01T00:00:00-03:00,
1993-12-01,1993,1,12,BM12_OPTPCN12,1993-12-01T00:00:00-02:00,
1994-01-01,1994,1,1,BM12_OPTPCN12,1994-01-01T00:00:00-02:00,
1994-02-01,1994,1,2,BM12_OPTPCN12,1994-02-01T00:00:00-02:00,
1994-03-01,1994,1,3,BM12_OPTPCN12,1994-03-01T00:00:00-03:00,
1994-04-01,1994,1,4,BM12_OPTPCN12,1994-04-01T00:00:00-03:00,
1994-05-01,1994,1,5,BM12_OPTPCN12,1994-05-01T00:00:00-03:00,
1994-06-01,1994,1,6,BM12_OPTPCN12,1994-06-01T00:00:00-03:00,
1994-07-01,1994,1,7,BM12_OPTPCN12,1994-07-01T00:00:00-03:00,
1994-08-01,1994,1,8,BM12_OPTPCN12,1994-08-01T00:00:00-03:00,
1994-09-01,1994,1,9,BM12_OPTPCN12,1994-09-01T00:00:00-03:00,
1994-10-01,1994,1,10,BM12_OPTPCN12,1994-10-01T00:00:00-03:00,
1994-11-01,1994,1,11,BM12_OPTPCN12,1994-11-01T00:00:00-03:00,
1994-12-01,1994,1,12,BM12_OPTPCN12,1994-12-01T00:00:00-02:00,
1995-01-01,1995,1,1,BM12_OPTPCN12,1995-01-01T00:00:00-02:00,
1995-02-01,1995,1,2,BM12_OPTPCN12,1995-02-01T00:00:00-02:00,
1995-03-01,1995,1,3,BM12_OPTPCN12,1995-03-01T00:00:00-03:00,
1995-04-01,1995,1,4,BM12_OPTPCN12,1995-04-01T00:00:00-03:00,
1995-05-01,1995,1,5,BM12_OPTPCN12,1995-05-01T00:00:00-03:00,
1995-06-01,1995,1,6,BM12_OPTPCN12,1995-06-01T00:00:00-03:00,
1995-07-01,1995,1,7,BM12_OPTPCN12,1995-07-01T00:00:00-03:00,
1995-08-01,1995,1,8,BM12_OPTPCN12,1995-08-01T00:00:00-03:00,
1995-09-01,1995,1,9,BM12_OPTPCN12,1995-09-01T00:00:00-03:00,
1995-10-01,1995,1,10,BM12_OPTPCN12,1995-10-01T00:00:00-03:00,
1995-11-01,1995,1,11,BM12_OPTPCN12,1995-11-01T00:00:00-03:00,
1995-12-01,1995,1,12,BM12_OPTPCN12,1995-12-01T00:00:00-02:00,
1996-01-01,1996,1,1,BM12_OPTPCN12,1996-01-01T00:00:00-02:00,
1996-02-01,1996,1,2,BM12_OPTPCN12,1996-02-01T00:00:00-02:00,
1996-03-01,1996,1,3,BM12_OPTPCN12,1996-03-01T00:00:00-03:00,
1996-04-01,1996,1,4,BM12_OPTPCN12,1996-04-01T00:00:00-03:00,
1996-05-01,1996,1,5,BM12_OPTPCN12,1996-05-01T00:00:00-03:00,
1996-06-01,1996,1,6,BM12_OPTPCN12,1996-06-01T00:00:00-03:00,
1996-07-01,1996,1,7,BM12_OPTPCN12,1996-07-01T00:00:00-03:00,
1996-08-01,1996,1,8,BM12_OPTPCN12,1996-08-01T00:00:00-03:00,
1996-09-01,1996,1,9,BM12_OPTPCN12,1996-09-01T00:00:00-03:00,
1996-10-01,1996,1,10,BM12_OPTPCN12,1996-10-01T00:00:00-03:00,
1996-11-01,1996,1,11,BM12_OPTPCN12,1996-11-01T00:00:00-03:00,
1996-12-01,1996,1,12,BM12_OPTPCN12,1996-12-01T00:00:00-02:00,
1997-01-01,1997,1,1,BM12_OPTPCN12,1997-01-01T00:00:00-02:00,
1997-02-01,1997,1,2,BM12_OPTPCN12,1997-02-01T00:00:00-02:00,
1997-03-01,1997,1,3,BM12_OPTPCN12,1997-03-01T00:00:00-03:00,
1997-04-01,1997,1,4,BM12_OPTPCN12,1997-04-01T00:00:00-03:00,
1997-05-01,1997,1,5,BM12_OPTPCN12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,BM12_OPTPCN12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,BM12_OPTPCN12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,BM12_OPTPCN12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,BM12_OPTPCN12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,BM12_OPTPCN12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,BM12_OPTPCN12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,BM12_OPTPCN12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,BM12_OPTPCN12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,BM12_OPTPCN12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,BM12_OPTPCN12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,BM12_OPTPCN12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,BM12_OPTPCN12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,BM12_OPTPCN12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,BM12_OPTPCN12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,BM12_OPTPCN12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,BM12_OPTPCN12,1998-09-01T00:00:00-03:00,
